rna_0,rna_1
-3.5197084,16.138405
7.4766936,-11.965537
-0.6427959,-4.624727
0.4304888,-8.753854
-19.740044,-8.399393
0.51743716,15.019284
1.400897,15.421586
-5.704783,-4.125876
-1.5029465,-1.716105
0.33804035,15.865894
11.964471,8.499614
15.061262,4.9658756
-21.648977,-8.892986
2.1029644,15.656876
20.224794,4.498733
-5.611617,-3.7028527
4.04753,-10.227207
-18.557463,-10.336487
0.08934867,-2.4156597
-18.248953,-13.017355
11.006248,8.109866
-23.779684,-9.301315
-3.2184408,-2.513857
1.247423,-8.170096
9.045073,-11.263645
-18.097904,-12.425895
-18.699339,-11.058802
20.806173,5.5635414
-1.3297403,-6.0326934
-3.1635916,14.355693
-1.8978906,-4.154614
8.277531,-11.148651
5.3366795,-9.664962
0.29685178,-8.723177
20.035957,-6.01548
7.660135,-10.862802
-4.985649,-3.6228182
-5.5792775,-3.8036487
-18.350498,-12.883952
-5.4478607,-3.5517402
-21.260815,-8.278753
-19.407206,-9.266748
-0.84446204,17.031668
9.840268,-14.05255
-23.828596,-9.310995
0.29334342,14.112547
-18.526318,-11.763987
7.3825197,-12.363786
-2.9934444,-6.292652
0.21513228,15.668488
-17.72666,-12.69464
0.2911537,15.076539
-2.444783,-5.612988
12.620498,6.925883
-20.290203,-8.531518
-1.5486838,13.201122
-1.5059084,13.885691
-4.2635064,14.7143135
-2.2412934,-4.771517
-4.326452,-3.9693298
0.69572383,-2.5244815
-1.9082295,13.5185995
-0.14696628,-2.4210525
14.386443,6.356263
0.29977182,-2.113761
-3.4881923,-4.961168
-4.8587804,-3.705057
20.176542,4.504988
19.56191,-4.7828608
-3.6783133,-3.6863434
4.730619,-10.580956
-1.0614347,-7.3392043
8.715329,-12.888766
1.780766,-7.9255295
3.774626,-7.5459743
18.385977,5.432915
1.950208,15.099277
6.675509,-9.32608
0.70203775,-5.331738
-1.4505775,-6.7419424
-4.216936,-3.9203358
-0.5576995,15.679619
8.547814,-14.042552
4.656153,-10.568983
1.013928,-4.9313183
-18.90834,-9.8809395
-3.3831818,-2.1902478
-19.005701,-8.459209
12.039613,9.238644
22.395544,7.263944
1.9978228,-4.8613205
-1.7794439,13.597886
9.4111805,-13.883747
-1.0584207,-4.6009226
16.757744,5.639122
11.473881,8.430437
-0.680688,-4.102648
3.9982123,14.2607
-3.2854083,-6.7156105
4.7493815,-10.674734
10.341583,-13.713844
0.23731688,-1.8341681
0.65600014,15.101053
-20.930346,-8.5526
-4.8669443,-3.4182997
-2.575951,-6.068778
-1.6720346,-2.0500426
-0.46389484,-3.1013403
7.2117248,-9.2653
-0.9746519,-2.2520728
-18.145203,-12.283717
-21.028208,-8.797902
11.972117,7.2615504
-0.96385133,15.7647505
-18.24379,-12.937557
-1.7840993,14.810866
-1.2551072,-3.354483
-2.889751,-6.4633055
-0.5188795,-3.4590442
-18.463066,-14.09665
-2.542469,13.785422
8.372632,-8.312379
-1.7022403,13.5132
15.917814,4.547694
-17.75165,-10.981617
10.862532,8.077571
-18.849949,-11.759664
