norm_0,norm_1
-19.797447,19.861038
-25.420633,13.455786
26.046122,13.65484
-19.131222,19.29515
-19.829187,16.37056
-25.585274,17.14253
-24.186716,12.180228
-21.287556,17.674932
-25.284855,14.671789
-20.997725,15.976255
-24.469536,21.136883
-23.959581,11.902223
-22.08117,45.019707
-22.116089,18.236315
-28.539846,-17.021494
-20.926535,20.632212
-19.321342,19.218023
-31.568352,-3.4578602
-28.410217,-16.35429
-23.494137,23.401613
-20.389254,19.608162
-22.393255,23.151896
-21.819736,14.969526
-21.218046,16.10609
-21.997364,19.955639
22.05711,18.725836
-24.568983,6.528922
-22.79092,16.52658
-21.095404,20.789747
-21.365154,20.310968
-23.617325,25.003805
-23.461983,15.956763
-27.687874,13.44817
-21.828405,20.148722
-24.16839,10.002717
-21.809536,22.398624
-26.923292,22.233692
-29.816414,11.711801
-29.842432,10.867567
-21.779398,13.563427
-25.23604,11.992791
-22.03224,11.605652
-22.389664,22.941053
-22.919685,11.818355
-24.348177,9.508424
-20.440506,16.320341
-19.929005,17.432993
-22.059057,19.794506
-24.061586,18.657267
-23.241901,21.993738
-24.561628,21.095062
-22.594633,21.274864
-22.69835,13.343559
-19.14785,17.778988
-33.26007,11.084555
-26.417372,12.855374
-23.943354,13.588529
-23.33206,25.372688
-21.278183,20.061499
-21.94256,27.156107
-25.951572,14.952111
-23.380783,11.904063
-25.28944,14.632177
-22.666832,20.73052
-23.285423,23.001797
-25.102821,17.4398
-25.09964,14.132782
-22.046505,13.453902
-23.745947,14.248202
-22.203344,14.931146
-24.381052,14.365943
-21.518562,25.793478
-23.362623,18.611446
-26.377321,21.001686
-23.734673,14.243971
-21.559088,23.139471
-18.529566,16.922453
-20.091345,17.149126
-22.168217,15.920467
-23.25466,19.220978
-28.11637,14.07207
-21.731249,24.65252
-26.437288,20.71609
-23.614506,8.091093
-23.314482,20.587816
27.035921,21.315481
-28.353268,14.107479
-22.089731,6.8942246
-21.212616,23.44578
-23.820599,20.319828
-20.876568,20.98746
-23.429594,18.822577
-26.795696,17.302383
-27.721714,21.480633
-20.80902,19.111418
-20.082579,16.015974
-23.548786,14.901893
-27.658333,16.357138
-21.713306,26.593735
-23.63576,23.268814
-21.135979,17.623058
-21.128765,16.276182
-21.262989,18.444824
-23.570389,19.43348
-22.518763,22.448717
-22.755445,16.273388
-21.791569,25.82149
-20.340965,16.33738
-23.201674,18.519495
-25.206413,15.283569
-24.049477,19.62474
-20.572964,14.718156
-22.40451,22.025373
-22.032263,20.469835
-25.513165,15.467098
-21.647545,22.924173
-23.778746,24.781893
-27.938221,20.205492
-26.798658,18.909544
-19.534796,17.892788
-21.251743,17.571257
-22.435738,13.264502
-21.78389,23.99592
-20.89749,18.36391
-21.784655,17.269894
-21.99521,14.91943
-19.43755,15.767701
-19.2343,20.919807
-26.653763,14.950411
-21.385569,19.802622
-21.326437,17.214743
-21.952793,16.405733
-22.263979,19.144102
-21.82993,21.234797
-24.238253,24.167896
-22.247305,17.101997
-21.567595,20.481043
-21.74167,23.410643
-21.444773,25.22883
-23.00343,14.709465
-18.818655,19.742096
-23.703115,23.002827
-27.269272,20.574455
-21.385489,20.013235
-26.418932,20.97665
-27.160933,20.08346
-25.415518,21.12773
-22.992445,25.908922
-24.438375,22.923098
-21.311344,16.364098
-19.952354,19.070036
-19.20947,18.407207
-27.286474,22.623877
-27.0232,21.157467
-20.874872,20.805906
-20.681932,15.584284
-21.887562,19.499111
-21.41446,17.31294
-19.96165,16.554468
-27.029085,21.004873
-21.792542,18.172283
-21.57222,16.447826
-22.858126,20.44723
-25.158873,19.785858
-27.093044,20.60589
-27.39528,20.765902
-22.454376,20.896767
-21.999132,17.763945
-24.10437,20.13397
-22.819023,18.372698
-20.387192,15.962112
-24.068851,19.304571
-25.939766,22.793863
-26.066084,20.44163
-20.769936,23.43452
-21.441467,21.75792
-21.646938,20.812458
-28.501453,13.140948
-25.847702,13.582612
-23.577917,14.723441
-22.050968,21.396612
