rna_0,rna_1
15.986148,6.6014824
1.5207714,-5.5442133
0.9600794,-4.177224
1.074034,-9.258046
-1.3667483,16.046606
-19.593206,-4.110746
-3.832359,-4.2727427
0.5165577,15.878835
-19.802181,-4.2242455
-1.6450853,-4.592585
-0.8988998,-4.346259
19.382778,5.294215
-0.8157024,14.396219
4.0000443,-9.816982
2.198367,13.81719
-3.420129,-5.9923525
1.0498633,-4.9733377
7.5518103,-9.793899
-1.6019163,13.952416
7.116825,-9.956054
1.523603,-9.413445
-0.41683644,-5.035737
3.3844774,14.1078415
0.18433253,-5.4903617
1.0603591,-5.3428206
7.842987,-14.313428
-3.7732122,-5.0127826
0.051427696,-4.182706
-1.3468487,18.006762
-2.721589,15.289804
18.764227,5.264197
7.6927238,-9.680371
1.0553364,-9.132989
-0.79761875,15.299352
2.3409925,13.062719
-2.5583677,-5.866951
-1.9516248,15.54351
-1.576011,15.942927
0.82469773,-9.146356
4.0860977,14.16647
11.088646,8.351788
10.004348,8.901536
0.7976512,15.0912695
1.3998815,-10.059452
20.469404,6.954299
0.8458184,14.193547
1.1198418,-10.287892
-1.1227853,-5.9817204
8.3983755,-13.183971
4.9598193,11.507684
2.1527653,-9.709283
1.6981238,-5.000057
-1.2183146,-6.4444456
6.7544394,-10.99239
0.528947,-3.847634
-4.5084395,-4.902817
18.509552,-3.6295278
-2.170179,13.850304
-2.4582815,16.478476
0.06920266,-4.680243
5.7137275,14.698476
-1.2425144,-6.655295
4.7453394,-11.354663
-4.3928814,-5.196912
-2.6502945,13.561164
-19.142704,-7.32246
-0.15151054,14.122095
0.9281907,-4.464333
-2.0826464,-3.1987596
-2.65937,15.693582
0.4244544,-9.089903
-19.213823,-4.345886
-1.0754634,13.453695
7.3637276,-10.786787
-3.4839134,14.85289
-3.546439,-4.4344273
-3.1899247,-5.031631
0.7519986,-8.953649
1.0287287,13.117851
4.809897,-10.982322
5.106413,-10.288893
1.1894778,-4.6058383
2.6670735,13.61913
-2.4001484,-7.310018
5.2298493,-9.829425
4.744513,-10.818601
-4.130216,-5.9457846
3.8919556,-10.626336
9.2181635,-13.243678
-19.691711,-4.1558642
8.972127,-14.538983
-0.7243062,-5.88005
-1.1653366,12.995384
4.106795,11.838993
0.6731547,-4.907594
2.9613004,-8.712203
11.062485,10.274939
-1.8084911,16.414907
-0.52740496,-6.456612
-19.72362,-4.194763
8.7084465,-13.951698
-2.200318,16.687366
2.7034311,-8.813253
1.8204451,-8.174885
-0.038656835,-8.357102
1.2691509,13.273375
1.8546168,-9.176437
-1.6914887,-7.4508023
-19.135836,-7.4511204
-0.20791909,-5.6053967
20.577684,8.370167
-0.5842777,-5.9652233
0.82609177,-8.997683
0.31229833,-4.849405
0.23090953,14.076206
1.4432762,-6.6467195
-1.5259868,-6.743197
