count_0,count_1
-7.1998653,13.799409
-7.6123543,12.689864
11.094662,-0.9523336
-6.4052124,13.673994
-6.6829786,13.0675125
-7.967577,12.839489
-7.7331133,12.258966
-6.867295,13.549435
-7.969802,12.803852
-6.8266788,12.925053
-7.277863,14.213974
-7.909551,12.3499
-17.323503,14.403577
-6.9945164,13.761465
-7.9175076,12.216529
-6.4664416,13.629375
-6.4292984,13.149819
-12.493736,-5.363652
-7.76875,12.072226
-6.990019,14.256884
-6.9117227,13.888789
-6.790517,14.364465
-7.140019,12.63877
-6.872218,13.334966
-7.08249,13.910124
7.24375,5.474964
-7.4862547,12.201321
-7.112265,13.1909485
-7.0201554,13.8022995
-7.467593,13.37827
-6.900752,14.786264
-7.2957835,12.874763
-8.197629,12.467404
-6.9289026,14.130557
-7.689492,12.239076
-7.3385124,13.295374
-8.411753,14.151881
-16.005718,-5.711864
-7.918325,12.391767
-7.3262644,12.513697
-7.928871,12.502692
-7.441433,12.268585
-6.602882,14.541971
-7.3748927,12.458237
-8.658546,-6.266492
-6.841571,13.09122
-6.5251107,13.279727
-6.876713,13.909044
-7.4287567,13.454392
-7.0222497,14.512332
-7.887806,13.902484
-7.08621,13.642659
-7.313131,12.7874155
-6.4006104,13.03293
-15.727139,-4.653313
-7.923131,12.509581
-7.38167,12.828118
-6.977889,15.215338
-6.9732003,14.063708
-6.5654955,15.136793
-7.871622,13.012366
-7.565722,12.463712
-7.9075704,12.866789
-7.2449336,13.896995
-6.999565,14.20905
-7.883422,13.801654
-8.08997,12.744872
-7.327275,12.647185
-7.3695416,12.911172
-7.3164845,13.492466
-7.8741064,12.823319
-6.6294236,15.1383095
-7.3617415,13.83704
-7.8651433,13.973294
-7.3316393,12.971459
-6.7216897,14.359116
-6.345765,13.195136
-6.7682967,13.068675
-7.324187,12.586205
-7.1961718,13.947594
-8.173693,12.493989
-6.5688996,14.943644
-8.614566,14.222644
-7.4578958,12.261088
-7.063578,13.949463
7.2124825,6.6598644
-8.287394,12.583755
-7.515764,12.190167
-6.56672,14.567332
-7.3929977,13.760156
-6.5912695,13.935972
-7.4712577,13.62818
-8.158173,12.751777
-8.691312,14.42489
-6.5160594,13.530831
-6.7172203,12.844449
-7.354432,12.673714
-7.9221544,13.082172
-6.5902452,15.030154
-7.2486467,14.851646
-6.799831,13.529242
-7.3213987,13.21933
-6.6561575,13.699691
-7.2666073,13.687547
-6.418992,14.594641
-7.270472,13.0682335
-6.549197,15.02361
-6.73366,12.789941
-7.0275116,13.3312235
-8.003332,12.882398
