rna_0,rna_1
186.87538,-1.1012692
-26.367092,-9.149133
-30.043997,-5.851698
-22.79631,-18.01035
-5.835785,50.28425
10.233705,-3.4145024
-40.593773,-17.386732
1.6678814,50.40665
12.661117,-5.534402
-37.948784,-10.537339
-34.428783,-10.123687
213.91266,3.6677213
-6.718813,45.497482
-19.51957,-18.098585
7.44285,44.697124
-41.423748,-22.185513
-31.263773,-10.729991
-5.626716,-33.591717
-10.661716,40.665127
-7.2635264,-29.616302
-24.465572,-14.649134
-32.775,-11.472405
12.010511,49.50912
-33.571556,-12.702504
-30.668652,-9.519942
4.9538064,-33.424698
-41.778248,-18.727163
-34.5954,-8.172629
16.420061,58.522583
-13.407727,48.19589
211.54189,2.5010402
-4.1985655,-32.23082
-20.615383,-19.771572
-5.6360874,48.627247
7.1435533,37.539143
-35.904564,-18.738495
-9.931544,48.92299
-8.0233755,50.229336
-21.390457,-18.706945
12.7127495,54.270473
97.49835,36.043396
22.069132,59.0318
1.7862116,48.224583
-20.608255,-22.49131
224.86331,13.228463
-1.5186491,42.25989
-22.106628,-20.959328
-37.271214,-16.263353
4.717022,-27.861902
35.20498,40.493652
-19.853182,-15.465787
-27.447449,-7.26024
-32.736614,-16.375626
-5.69618,-23.931162
-34.800037,-5.000872
-43.416653,-20.121437
211.34004,66.28792
-11.4418745,40.18035
-14.833743,51.143276
-35.650204,-12.75336
20.887623,65.76094
-33.626347,-17.515434
-7.054932,-20.756683
-43.53137,-23.432472
-15.940293,39.360416
7.8254695,4.991275
-3.7047942,44.27983
-32.53289,-6.91607
-41.071148,-9.983413
-14.5259285,48.66437
-25.485962,-19.32797
6.370048,-4.920737
-7.0348167,37.84177
-2.9353542,-32.66413
-18.705444,45.54827
-42.324974,-18.176174
-41.616226,-19.861626
-23.379324,-19.6809
0.5549544,37.670418
-10.5561695,-19.286049
-11.712545,-20.390484
-29.435328,-7.030862
11.079174,44.653015
-34.664806,-23.886543
-15.120921,-18.657177
-10.124411,-20.3274
-34.110996,-20.199177
-12.489599,-23.432913
14.356428,-37.527298
8.866752,-3.8045855
9.8471,-38.636696
-34.821815,-15.457904
-6.320415,34.935154
22.245281,40.107567
-30.934275,-8.248614
-13.551529,-15.692939
139.98512,30.395498
-12.001448,53.277195
-31.02179,-15.294081
9.553591,-3.8801763
7.449961,-33.37091
-0.23920062,59.54771
-19.66226,-17.20208
-24.721054,-11.56078
-27.735533,-19.363346
0.701706,39.6944
-22.171003,-15.364463
-34.646507,-18.621878
6.144258,5.9926248
-32.961758,-12.144325
246.39816,48.403454
-34.24042,-12.89164
-24.070593,-18.85724
-29.991543,-10.6887245
-1.7489601,40.449345
-25.686052,-9.6025095
-32.79919,-20.715723
-7.322938,-23.898182
218.40286,67.29314
-28.522795,-19.64963
5.9992127,-4.791264
-30.93395,-6.231707
106.554245,38.358486
-43.781315,-12.84955
-11.542782,48.744236
-30.297142,-24.75685
-26.399536,-21.892403
4.795576,44.270973
-32.0839,-6.9061217
-20.425526,-19.247723
-5.958075,43.270138
-38.546635,-25.621994
-31.126604,-9.295928
-29.978884,-20.71258
216.31285,5.683436
-31.380632,-14.079615
-33.783802,-13.021311
13.237064,-36.371437
-24.214281,-13.190639
-3.6681705,-25.941454
-31.779287,-7.7557344
5.215678,2.2682238
193.39958,63.996845
-24.380663,-16.400345
-34.023426,-19.874702
-16.606949,39.311848
171.37473,1.687601
-6.1613865,-23.618187
-39.90383,-26.931065
32.78243,43.93416
-4.007455,39.141422
-27.90072,-6.713433
-6.361953,45.779095
-43.46558,-10.288775
-9.617486,42.28583
-30.85419,-7.9986753
7.693693,-2.974028
-1.0058753,42.40493
4.085417,-35.23118
6.53781,2.8898938
225.44261,13.655092
192.36954,-0.44658273
12.797055,-2.067493
-13.843701,53.952797
-16.920437,38.787804
-32.280888,-5.811689
157.69531,15.157404
-19.164179,-15.276348
139.76378,-5.860461
-8.47295,42.9858
1.2390862,-1.3504725
12.458233,7.4560127
-24.099573,-18.379883
2.626003,-27.134663
-4.2657027,44.127552
-12.207544,49.480137
215.79749,4.749255
15.027123,-42.036453
-39.240646,-21.992624
-37.271175,-4.9369984
13.072627,-39.224625
3.7276182,49.96655
1.0580579,36.401474
-32.613995,-13.745868
-30.989685,-10.681789
145.29475,13.381823
-29.329988,-3.58397
1.4135277,38.385292
-38.326706,-26.454199
-9.418319,38.966045
-31.937183,-15.9327755
5.0245314,40.50218
-37.147106,-7.464098
-33.246777,-18.114374
14.233324,46.400314
0.65185803,-24.980505
-28.823511,-8.702853
-1.0646833,-31.574064
16.61719,-5.5398536
-9.927768,52.833405
-8.467834,43.992443
100.04413,-4.2347503
-28.95978,-12.005538
-27.496069,-18.600616
-7.9489255,37.59021
9.438505,-33.503326
-42.505924,-22.522469
-6.9506383,57.215355
-31.37099,-13.337449
-6.999709,45.05772
-28.44554,-10.482421
-7.4349165,-22.886967
119.06414,-7.4635034
12.129225,-4.029514
-32.557392,-9.125868
106.99228,34.232666
-32.808697,-20.776606
9.195871,-41.111183
-0.6642389,-28.863203
-33.600273,-13.130742
7.1402483,-2.97798
15.32612,-7.4742837
-40.46133,-22.084988
163.95827,12.800605
-8.338993,-25.6155
-41.561584,-8.537442
-27.018059,-16.819046
-30.069664,-9.939957
18.405096,63.778526
-41.36179,-23.829576
-21.001993,-20.454134
13.463834,-4.724614
-4.506689,40.67383
-25.437712,-25.083239
221.67882,69.4428
-39.88866,-26.83552
-24.325367,-20.29941
-36.54393,-24.207178
159.04062,19.571043
-11.473724,-24.484201
-17.765388,52.23762
-23.800245,-23.407879
13.356485,-1.6378707
154.69357,3.9701746
-16.33978,47.80111
-31.639221,-19.58913
-5.316637,42.76552
211.75447,1.9848112
246.09863,43.040016
212.75206,2.6390715
-17.741714,42.2192
-37.840263,-10.462489
13.87009,-8.31822
-9.600785,41.764805
0.06684956,43.372116
-33.598392,-15.042586
116.52539,4.521555
9.2490635,5.3524623
-30.740515,-11.218396
128.84926,7.666943
-35.927624,-4.8021097
-23.944761,-20.0781
-34.85609,-9.194928
-28.7763,-17.07501
11.839451,-1.788756
-13.3673935,51.321396
2.4969068,-25.26325
-32.487194,-12.356686
-23.224089,-20.617064
10.634038,-6.3160634
0.049986206,42.81621
1.6837794,44.78631
-42.68303,-23.671024
-40.04602,-7.876364
1.1496187,44.04591
84.93385,46.495495
154.17471,1.1962616
19.824263,-4.2522316
4.400693,44.277744
209.32776,1.9894285
-44.39405,-21.84884
-11.143647,-18.739487
6.770676,0.94574124
-35.665882,-6.3225584
12.49399,8.122298
36.83644,55.225815
67.15865,-0.54049176
-42.00251,-15.464141
-22.15408,-17.361046
0.7600918,-31.885023
9.007756,6.4292326
8.240152,1.6568588
214.03114,8.334471
-29.88841,-20.418339
-15.769671,44.950607
-34.475048,-13.38393
0.7894087,-28.47486
-8.7164755,-21.86795
-24.326817,-22.088053
222.00095,69.51942
-0.34425223,-26.020153
-42.50029,-20.81957
-43.926563,-21.913086
12.31384,7.981247
-44.195927,-20.898726
17.404003,-6.9005833
11.581461,-3.24125
8.242127,45.27175
9.986008,-38.06613
69.07895,-0.455369
-3.8580155,40.067726
9.144687,3.8796265
3.0952318,-26.255138
-33.691803,-19.841825
-2.0255644,46.082405
8.021877,7.577339
-1.8531668,42.697098
-33.66006,-17.8886
102.09214,23.439934
13.266883,-6.8608103
-9.129573,37.3743
-9.261064,40.20894
-17.75795,46.84674
-34.946396,-15.92062
-40.090466,-20.620424
-36.151,-5.208243
-8.877855,37.197647
-34.57084,-8.282038
156.66798,9.424386
-34.117508,-6.9905457
-36.98591,-18.662153
-41.921604,-18.979097
211.54655,3.529074
209.33247,66.56363
-39.43207,-17.688566
-8.227558,-20.342323
-29.153152,-19.497887
5.5807843,-31.192713
-19.598513,-16.656492
-15.193721,-13.3279915
196.49915,4.4627724
5.735114,42.432835
-7.9601297,-27.289062
-28.863148,-12.016378
-28.834642,-18.230618
-40.15891,-19.01001
-3.8459759,48.33829
7.3990173,-38.19755
-10.25571,-19.630583
-27.379314,-10.345881
7.095166,-1.5603273
-43.747097,-12.321453
8.766526,-7.182125
103.7196,45.258266
245.53505,41.72893
-23.811003,-7.66833
-10.695775,37.711025
8.685626,-36.6835
-33.348583,-12.676983
186.08945,3.1639943
62.822933,49.865784
-34.68938,-11.686792
13.546371,44.28022
-33.295288,-22.280905
-9.855332,-18.86194
14.687136,-39.00309
-35.83052,-5.5572996
-0.3923913,41.82115
17.32402,-4.035003
-42.43832,-18.474808
-32.12697,-19.795893
-39.53875,-10.369277
-35.37146,-9.431463
-7.7372603,-27.77214
-37.45681,-8.431384
9.772635,5.958157
16.979706,-5.003604
77.436066,41.48492
-6.544338,46.684166
12.91896,9.05305
-9.326742,42.646507
-36.711956,-12.2289505
-32.78976,-22.702412
-35.414494,-11.219184
17.471823,8.697385
-13.702535,41.004456
-6.1400146,-33.421104
-8.883302,39.189377
162.54352,-4.654283
6.0851994,2.9063194
26.383121,56.305195
10.702339,2.5458627
99.8752,-4.3503923
-36.012634,-15.944752
12.118099,59.049236
-8.882898,-24.92632
-23.829865,-9.665796
152.99525,-5.2536216
-4.671632,36.022778
-3.4807463,48.64592
-41.29723,-8.865232
8.39223,2.8277998
5.1591363,-32.783047
111.87686,13.061052
6.187113,0.86369723
0.28637615,36.867573
-32.474346,-11.780613
-6.2273965,49.691402
-34.736546,-19.171606
-10.056068,-20.812603
2.4813998,44.816673
-30.286741,-13.083681
215.88441,4.1499166
-43.53327,-14.357669
-1.4458909,54.635735
-35.475136,-4.6958604
11.789974,-7.8423448
-22.01722,-12.170971
5.0527587,-30.054113
-21.826513,-21.594646
0.37220216,36.544086
-42.34776,-11.952931
-13.20306,46.506695
-33.645115,-11.791416
11.720618,4.8526616
-40.56774,-26.300127
-23.589792,-18.080425
28.396244,44.09261
-39.566048,-7.984337
-14.633084,36.951313
131.13364,-6.648334
-5.010113,46.89918
-8.402469,38.019768
-32.178898,-4.47367
142.93019,27.28062
-34.272583,-6.1965175
14.358029,7.7037296
-0.7784013,38.171806
-32.335667,-7.3202133
-39.481354,-7.3627934
10.821371,1.7031845
-0.5161022,50.78709
-9.232448,52.9568
-41.566414,-7.4241104
170.9957,0.7294831
-33.678654,-13.156925
-33.631226,-8.183449
13.940515,-5.271205
208.51227,2.2578955
-44.332752,-22.629726
-33.22686,-22.761024
7.0111766,-30.47946
99.11523,-1.7712307
-5.9193773,46.820087
-38.50518,-24.606659
-7.730222,54.840687
-13.514837,50.55862
-14.31789,-20.11614
-24.114784,-24.14198
100.36115,-4.0048113
3.2433007,-1.0919005
1.8877151,49.21381
-10.027471,53.25416
-15.89168,46.39306
-38.216167,-14.488568
-27.813108,-12.615511
8.855783,48.8126
-31.029224,-16.327314
11.837723,59.471195
-26.762533,-12.329822
209.32,1.704681
-12.59969,-20.596323
-39.465797,-14.80695
156.70331,3.9695866
-27.8639,-8.93773
-14.41805,-20.305494
-28.474138,-23.283615
-8.9375515,39.208942
-14.951112,47.2824
-38.02507,-14.078477
-5.5654693,51.6613
-5.270615,-31.617434
-7.8907523,53.101887
-34.970226,-7.082168
-2.9846468,48.03944
-10.042906,-21.10794
116.539635,38.053036
10.128828,8.0019
-8.371857,-21.355783
11.712867,6.5509386
-33.53927,-10.419736
-6.547286,-24.642414
-40.97697,-25.182016
-12.143751,41.27429
-43.29546,-20.7096
-4.627476,42.516285
18.40161,-5.771967
-17.560951,-19.909185
-7.6574674,39.828903
-23.833813,-18.354813
2.6967854,-30.347958
-28.241146,-8.954784
2.8328352,48.46478
157.09383,8.756881
-8.375928,42.662216
-43.486736,-22.50778
-36.754913,-9.427861
-39.71044,-27.111988
-5.777897,51.080986
-15.337816,48.421333
-4.96128,55.6229
-7.077198,-25.773266
-1.6851102,48.243473
-16.574295,46.716652
-3.981264,48.371895
11.678559,-36.846867
-0.55659944,50.340893
-7.8704367,46.86669
-16.67588,47.068985
-34.859375,-18.477356
214.90695,3.2438197
-41.90559,-13.992003
39.88117,48.82928
-26.385632,-18.392262
247.35294,47.842194
-0.24907503,47.77595
-3.671081,49.51011
11.173327,-35.463608
-10.904403,40.00981
-32.84754,-9.958051
11.003728,-34.698154
178.6976,5.8357835
-41.173958,-17.999144
-35.433582,-16.222275
14.791085,8.73193
-6.553118,40.196003
-32.642624,-16.550892
-3.747365,53.566856
-6.483224,43.44424
3.3387349,40.14034
-18.019123,-17.56237
126.99279,35.395905
-18.545671,-16.934406
152.87953,-6.57899
-40.058125,-21.133884
0.0034906454,46.514496
0.68644774,43.086525
-34.95194,-17.474154
-22.566252,-16.26763
-30.871193,-17.635792
-35.050114,-11.216387
23.93865,73.19067
-20.53928,-17.590014
-40.301853,-21.871561
-36.70765,-16.658125
-36.144432,-14.993009
-23.633717,-17.118383
2.691864,-1.093463
-40.638927,-20.474226
-6.0734158,38.29846
-36.26468,-7.898874
-25.121119,-19.90906
-25.306126,-11.432689
148.25644,-5.2812495
215.33087,2.2332308
-25.639643,-21.56984
-32.153996,-17.007984
-24.088655,-10.305297
-31.02578,-12.117048
5.9924707,3.7226381
2.086345,-34.677574
-10.7222,37.908817
-18.646,-13.351246
-38.54148,-26.468138
23.387152,9.667531
-15.568003,-16.712877
-8.454166,50.717648
143.30653,5.253325
-6.3979897,41.452183
-33.414097,-6.552381
-32.36729,-13.035363
-24.439306,-12.371011
5.458851,43.84098
-2.4675603,38.282486
16.767267,58.762184
-36.485004,-24.432983
-25.49527,-23.526623
7.4018974,42.526134
213.7473,3.4522836
8.8430805,0.34763184
12.94046,-4.7321353
-11.739618,47.813797
16.384535,-0.8477204
55.975746,33.55365
-7.436996,41.322746
-37.90739,-16.113493
211.9609,3.0506246
0.87948203,45.896637
-31.932411,-14.123371
97.64854,-5.142134
96.25753,-4.5191965
10.479177,43.868675
-19.972216,-17.038158
-34.568966,-10.029178
-33.174835,-20.194061
-22.322868,-24.582525
-31.969507,-7.888642
-37.127228,-9.236745
-9.637069,42.249683
-8.067309,-23.438139
-30.940926,-20.897703
1.3820393,-30.339396
26.529387,37.668713
-8.407411,50.86783
2.5714405,-31.792278
-16.77929,46.077747
157.01936,15.187011
-29.738932,-6.0054126
-9.31926,-22.906408
-9.925041,-22.610405
-37.99754,-8.071145
-0.5223568,45.172043
-8.400225,41.91663
-29.208921,-5.7785153
8.915994,2.4875948
6.8455186,3.118509
153.4343,-6.831084
14.582875,52.748623
9.643391,43.039604
37.125675,48.201363
-32.817238,-6.2056885
