rna_0,rna_1
7.680444,0.18061018
-2.163767,4.0840783
-1.5975798,4.636329
-0.6183774,1.9198083
12.95111,4.393526
2.878165,13.175607
-3.672072,3.385805
13.247288,3.3406787
2.7910643,13.079427
-2.679515,3.814046
-2.3274868,3.8392067
8.042943,-2.040491
13.743929,4.013235
-1.3220295,2.6774886
14.025898,2.732874
-2.5144627,1.9833565
-1.2227833,3.8513658
1.2361209,-0.9983815
13.994524,4.2835445
0.9960664,-1.2671701
-0.52279454,1.6613842
-2.1825266,3.897661
14.4622555,2.210592
-1.8295656,3.863175
-1.2686825,4.1004176
0.5238624,-3.3763728
-4.155301,3.00933
-2.217649,4.3147945
11.285318,3.6134377
13.251064,4.8527493
7.9553638,-1.6109961
1.4274299,-1.1206787
-1.1146634,2.0391822
13.282992,4.076945
13.837415,2.627571
-1.6001322,2.4895492
13.472574,4.83554
12.851322,4.4038553
-1.2008791,2.4449449
14.549318,3.9692807
10.153634,3.0925257
11.84842,3.993047
13.204004,3.2416654
-0.7831015,1.0809397
8.730671,-3.0377936
13.780035,3.590901
-0.14045605,1.5793406
-2.5527582,3.2656624
0.85744524,-2.9472544
12.708068,1.4010097
-0.46676746,1.975802
-1.5880383,4.2841263
-2.0939841,3.2647235
0.73713225,-1.6026419
-1.7202001,3.817941
-3.7590418,3.0372648
12.554941,-5.6912174
13.941118,4.828278
12.751434,4.831523
-1.6622795,3.8381538
15.887821,1.1108067
-1.9683937,3.1144502
-0.27947152,-1.0258834
-3.8812134,2.503264
14.299162,5.026627
4.298203,13.400271
14.152982,3.693038
-1.9376544,4.3903093
-3.0458965,4.219152
12.9574995,5.1320896
-1.2294452,1.571185
2.9022868,13.59419
14.369953,4.250108
0.83577067,-1.3153448
13.537356,5.4398766
-3.3838239,2.9153798
-2.8976777,3.0391965
-1.168524,1.7264056
14.19669,3.1433544
-0.20361033,-0.6384735
0.47421062,-1.0809001
-1.3569093,4.316509
13.562826,2.103229
-2.660315,2.6887891
-0.19687966,0.4301008
-0.32003152,-0.9967706
-1.9328111,1.9983954
-0.3067724,0.47719783
1.4722829,-3.5209703
2.8511143,13.572684
1.0893818,-3.7380195
-2.4390001,2.4424996
14.560116,4.597961
12.828544,1.2761933
-1.3979111,3.9871383
-0.5840748,0.7156281
10.56449,2.3109708
12.429226,4.4999595
-1.6635089,2.7186146
2.7977433,13.394631
1.0344652,-3.3426466
11.668729,3.8604856
-1.0048141,0.58303285
-0.64576215,2.7110026
-1.5782646,1.9528689
14.296105,3.2729616
-0.85926765,2.2820704
-1.5924308,2.454803
4.3340273,13.465327
-1.8341396,3.5924697
9.524929,-2.9667256
-2.047734,3.334903
-0.6810355,1.7357203
-2.146496,4.0938687
13.983285,3.4444215
-1.1845106,4.240864
-1.6252409,2.9860358
0.5007296,-0.90643555
12.802944,-6.054048
-1.8098197,1.9326344
3.1867592,13.481264
-1.8046385,3.7201424
10.371329,3.0653753
-3.5508463,3.858496
13.159081,4.929403
-3.4607148,1.995288
-1.3595532,1.6097848
13.789992,2.9699836
-1.7353019,4.121358
-0.62778854,1.6681587
13.977511,3.8764038
-3.169663,2.0670147
-1.2266941,3.7968307
-1.9658291,2.0407577
8.237142,-2.2202563
-1.440998,2.445408
-2.0824819,3.56934
1.4384887,-3.70277
-1.0602744,2.943582
0.6779923,-1.6905586
-1.3705676,4.0940413
3.921311,13.472215
12.4109125,-5.587501
-1.0578051,2.7566009
-2.47409,2.2115448
14.255261,5.118129
6.8567967,3.7825487
-0.1374318,-0.92606294
-3.9231231,2.3220208
12.654931,1.2026646
14.325809,3.6445413
