rna_0,rna_1
137.35428,-4.370094
-22.918896,1.4459832
-25.753399,-0.18971552
-14.457397,-8.326819
4.1875873,43.283157
1.9658885,-40.474327
-32.779797,-13.05332
11.143932,41.175743
2.4496284,-41.344086
-31.749205,-6.572597
-29.65633,-3.3550115
205.72462,0.9779846
4.7705984,37.90047
-6.394908,-2.757286
14.483898,36.58565
-29.763775,-15.684528
-24.032904,-1.2289956
3.7207732,-2.4420044
1.722167,35.23172
3.5727665,-1.2312118
-13.376985,-7.0134077
-26.29291,-4.900054
21.835066,41.54619
-23.671267,-6.7480335
-22.29844,-2.0563672
13.185138,-4.2378583
-33.50886,-15.169467
-26.346031,-3.4316006
19.673637,50.674072
-1.949103,41.985962
202.90524,-1.000071
4.922375,-1.3898232
-12.119758,-8.009955
5.4451566,40.9791
16.969255,32.787037
-26.356106,-11.577381
0.105832495,43.401638
4.09468,45.018517
-12.934344,-7.4450397
20.48342,41.655834
57.783558,38.863373
28.204264,47.46022
11.20011,40.89532
-11.634686,-9.850328
206.22676,11.474139
10.123471,36.502773
-12.666168,-9.511424
-25.743092,-10.821859
9.3704815,-3.334328
39.277935,31.315872
-12.246255,-5.1046567
-21.922758,0.88114005
-22.297287,-10.095355
-0.17121667,-1.1841265
-28.373566,-0.69542503
-31.715332,-18.05684
96.3034,26.815285
-0.3581451,35.63182
-2.2918358,45.424763
-28.172602,-6.6128097
27.121767,51.13966
-23.22481,-11.29769
-1.2998794,-6.0965204
-31.031757,-17.414764
-1.6986545,34.859207
10.33686,-35.126205
8.091915,37.145947
-24.488045,-0.9426618
-33.67419,-6.052349
-1.3345493,43.87078
-15.761127,-8.434107
0.018133275,-38.064297
2.993929,31.576292
8.712914,-3.228453
-4.7285657,36.59334
-32.282948,-14.579748
-30.474737,-15.512491
-15.386369,-8.366226
10.703944,30.857752
-3.839418,-4.201599
-4.658885,-2.1310887
-21.138973,-0.13081102
17.714714,37.516
-23.315884,-17.044586
-3.5674706,-1.336851
-2.0566711,-5.425657
-24.302452,-17.560944
-2.532062,-6.7582297
16.64263,4.297047
1.3856702,-39.31605
17.820951,-1.2654966
-25.55835,-7.118963
2.9461448,30.740103
26.96047,32.053013
-23.601042,-1.8566102
-10.075621,-2.258375
77.278,49.663616
-0.14243515,46.36754
-21.188822,-8.117347
1.3293557,-39.649258
14.973973,-0.89755994
9.158885,49.89248
-12.534179,-4.8004794
-15.892195,-4.3967433
-14.695036,-10.215129
11.810979,34.52295
-13.528755,-4.164135
-23.727633,-12.018634
12.328762,-34.759018
-27.688416,-5.728576
151.22865,83.33547
-25.272184,-6.198136
-14.117696,-8.810867
-25.845537,-2.630554
8.992471,35.730152
-19.204824,-2.7731657
-22.897842,-10.407167
-0.6220477,-1.0319934
105.880615,26.958881
-21.454075,-10.899289
1.624709,-35.34732
-25.015694,1.3136353
66.36991,38.14245
-35.137127,-9.601064
0.584328,42.622902
-20.613699,-15.608512
-16.373224,-11.38232
14.882814,36.11248
-24.458672,-1.1379571
-12.969049,-7.4655166
4.9460216,36.296627
-28.951447,-19.342138
-27.27331,-5.2100205
-21.286282,-11.323478
205.99164,2.4148
-22.699587,-8.703558
-27.10842,-5.1005063
20.745018,0.49170402
-16.770494,-5.294597
2.2325335,1.2652792
-24.954174,-1.942277
6.530839,-33.319904
87.10068,25.08995
-19.466227,-7.7532763
-24.537043,-12.573465
-3.8016777,35.45522
132.3461,7.6661944
-1.4337567,-4.0278263
-27.773252,-18.567816
31.897116,34.73558
7.066094,35.025345
-19.518837,-1.7493256
4.4468946,38.842598
-35.159763,-8.625913
0.75310177,36.023525
-27.539267,-0.3020487
1.4564531,-39.457314
8.376939,35.713955
12.425143,-5.6602745
7.971063,-32.521725
205.79173,12.041055
139.4083,-3.5278509
1.9366956,-41.86558
-0.05365957,45.62551
-4.0520444,34.068024
-27.56032,-1.0954351
109.888275,34.769653
-13.163315,-2.7521338
95.31358,-2.388635
1.6655419,37.685616
5.522159,-32.0586
11.518547,-32.49648
-14.000045,-9.443597
7.8460526,-1.6508057
8.720442,31.515371
2.4742587,40.65891
206.45291,0.45941722
22.19321,-1.6644366
-28.791895,-16.728518
-31.383293,-1.2513413
