count_0,count_1
-1.0300168,6.758363
-0.7143242,6.1607413
9.973824,3.9516478
-0.98844373,6.9688954
-0.52098626,6.2128344
-0.73025906,6.11201
-2.9704432,-2.7336814
-1.1445528,7.0796237
-1.132496,6.157429
-0.78051096,6.326165
-1.0495688,7.007852
-1.3563098,5.9686284
7.8223705,3.9882736
-0.6219006,6.786324
-2.4231203,-4.678679
-0.6940776,6.5913744
-0.6106702,6.4921117
-2.2598355,-3.773086
-2.8880613,-4.164375
-0.80106837,7.5199676
-0.5681054,6.4480925
-0.7919858,7.438197
-0.7625861,6.1211677
-0.68214494,7.227478
-0.89215714,7.304776
-0.52038914,6.6026826
-2.3832405,-3.8691576
-0.56962013,6.2639837
-0.6388265,6.9640675
-0.7659768,6.5002093
-1.0311345,7.414348
-0.8122989,6.1528673
-0.82753766,6.0561757
-0.63159454,7.0067787
-2.4224632,-4.6578207
-0.9831875,6.8461185
-1.3476079,6.566694
-3.9726915,-1.0837134
-4.1567955,-1.0822847
-0.67270935,6.0171304
-0.819256,6.038865
-2.5326605,-4.361957
-0.7354349,7.359593
-0.6229787,6.1043954
-2.4621775,-3.4317908
-0.9123507,6.609895
-0.58308357,6.5329456
-0.54895884,6.855837
-0.5718112,6.451348
-0.6892969,7.223799
-0.8146792,6.4171886
-0.6370149,6.8165207
-0.63868856,6.2579904
-0.5528847,6.3872776
-3.1589963,-1.9878134
-2.3250883,-3.5058007
-0.54625434,6.2554493
-1.4311689,7.9266706
-1.2919528,7.4034524
-1.2208543,8.0040045
-1.221226,6.3758483
-3.691652,-4.245297
-1.5096507,6.596935
-1.07244,7.147659
-0.7418035,7.2969937
-1.226825,6.7876205
-1.2804315,6.2796893
-3.2244663,-4.388912
-0.78160477,6.418051
-0.7822778,7.2913833
-0.6158644,6.4145184
-1.338184,7.9485373
-1.0169588,7.0430584
-1.2644837,6.837085
-1.2572424,6.372006
-0.9200873,7.225215
-0.74045694,6.7423534
-0.6177395,6.692963
-0.39171368,6.513546
-1.1014972,7.1370826
-1.2033248,5.800469
-0.99414724,7.7862635
-1.6108154,6.614014
-3.1934774,-4.889583
-0.67775273,6.7085857
7.7038317,4.0186906
-1.1027393,5.6196156
-2.6614704,-3.4168184
-0.9850591,7.4661508
-0.5893486,6.481253
-1.0238544,7.1200676
-0.5085466,6.776291
-1.4270574,6.5263395
-1.6909945,6.756078
-0.6950002,6.738418
-0.5166361,6.2848206
-3.2554502,-4.6526895
-0.7479937,7.0203533
-0.80427384,7.7627473
-0.73994255,7.310846
-0.6897078,7.05743
-1.2126423,6.463523
-0.7447069,7.0127025
-1.3017378,6.55464
-0.6463468,7.318751
-0.9122861,6.180134
-0.8664395,7.7253084
-0.5937753,6.256669
-0.6040565,6.5687995
-0.4381992,6.273089
-1.1031803,7.0563498
-0.4665943,6.444541
-1.281573,7.2684765
-1.1184126,7.2411757
-0.45781204,6.292461
-0.854654,7.6314635
-1.3368276,7.258295
-1.1931515,6.6078134
-1.2545807,6.6062818
-0.8715496,7.315594
-0.67853135,6.7141037
-0.9408742,6.136944
-0.9397159,7.7311783
-0.7479536,6.4552927
-0.62799776,6.167993
-0.61986727,6.461102
-1.0505874,6.3294806
-0.6275756,7.050713
-0.9442796,5.888646
-0.5529743,6.738937
-0.6067744,6.345741
-0.61124575,6.4426494
-0.8932156,7.0690675
-0.7263569,7.240042
-0.78792405,6.7663417
-0.7041474,6.809506
-0.7641068,7.254863
-0.8528419,7.3146
-1.227379,7.833897
-1.1894666,6.48701
-1.072672,7.308052
-1.034596,7.056378
-1.4221141,6.5798182
-0.5641777,6.805829
-0.88814676,6.713782
