count_0,count_1
-6.983186,13.777353
-7.5028095,12.733196
10.752545,-0.24137378
-6.1927195,13.603829
-6.6800895,13.069852
-7.835092,12.982549
-7.458003,12.2953415
-6.750383,13.368855
-7.811262,12.893804
-6.694032,13.014537
-7.214623,14.178831
-7.7812467,12.548354
-17.026943,14.326603
-6.938263,13.608958
-8.43967,-8.4207535
-6.3501287,13.6453085
-6.2860594,13.146159
-11.816052,-5.3766546
-8.971603,-7.846771
-6.813828,14.397429
-6.8132067,13.459949
-6.595828,14.597411
-6.8652616,12.655948
-6.718214,13.359772
-6.8869843,13.960819
7.4304266,5.429998
-7.404455,12.343996
-7.116303,13.172312
-6.8668466,13.761644
-7.7476397,13.422105
-6.674448,14.709659
-7.1725006,12.924439
-7.968099,12.61388
-6.722542,13.87655
-7.4578605,12.419601
-6.975012,13.319375
-8.279038,14.197547
-15.639506,-5.6208463
-7.759525,12.360012
-7.220338,12.57707
-7.7592,12.6112175
-7.2394166,12.383129
-6.517238,14.615607
-7.169465,12.632278
-7.486736,12.351203
-6.7356324,13.148108
-6.4871206,13.307887
-6.7945247,13.795512
-7.2742033,13.54985
-6.7886157,14.537438
-7.5220137,13.996668
-6.834404,13.677319
-7.151703,12.86208
-6.319096,13.026166
-15.615806,-4.6868854
-8.01925,12.695883
-7.346728,12.888482
-6.7988887,15.110437
-6.8025455,13.991851
-6.426158,15.069726
-7.429368,13.355793
-7.633963,12.558083
-8.051716,13.173176
-6.8203707,14.419312
-6.8523445,14.297264
-7.8896747,13.721441
-7.8913226,12.938096
-7.449761,12.680718
-7.1678414,12.97981
-7.1259212,13.441277
-7.8169336,12.831107
-6.420239,15.199813
-7.2563367,13.6972685
-7.9199286,14.089303
-7.2789154,13.130537
-6.66642,14.3109865
-6.273276,13.165735
-6.645496,13.081287
-7.4703665,12.76606
-6.9883924,13.979255
-8.02062,12.742924
-6.446647,14.822126
-8.363259,14.264037
-7.254727,12.530503
-7.0615764,14.084919
7.276992,6.507539
-8.075393,12.732299
-9.063377,-4.828237
-6.3969116,14.622204
-7.321044,13.874286
-6.5418286,13.768178
