norm_0,norm_1
-6.695735,13.262894
-7.021591,12.14233
10.847374,-2.075417
-5.6880183,13.696637
-6.278432,12.855688
-7.443224,12.513175
-7.2358694,11.904653
-6.385155,12.983839
-7.5320587,12.568801
-6.7427063,12.894253
-6.7508006,14.405864
-7.631605,12.196474
7.3993373,4.777599
-6.3877063,12.96365
-7.8454547,12.103353
-5.944947,13.292918
-6.0542474,13.024224
-7.4820347,11.686601
-7.5439982,11.916987
-6.3342566,13.470391
-6.3980227,12.872138
-6.104568,13.622405
-6.980456,12.185247
-6.42109,12.618214
-6.399812,13.291
7.5683317,4.667204
-7.2057104,11.892537
-6.740389,12.941732
-6.245635,13.555432
-7.529417,12.613098
-6.0704603,14.6506405
-7.2614927,12.727439
-7.650954,11.974421
-6.179753,13.159581
-7.2910166,12.054596
-6.602262,12.976639
-7.7887745,14.306418
-7.287916,11.643185
-7.2499065,11.740331
-7.061007,12.14531
-7.5590467,12.085528
-6.9654064,12.074087
-5.7406697,14.003027
-7.0447826,12.180138
-7.4594007,11.818805
-6.4297385,13.006909
-6.0937467,13.373028
-6.458286,12.882884
-6.740366,13.0943985
-6.243595,14.352929
-7.0553665,13.636777
-6.4725685,13.147994
-7.2043214,12.199407
-6.1577926,12.88178
-14.342299,-1.4883602
-7.657711,12.017361
-7.197186,12.240726
-6.0765047,14.881124
-6.4584355,13.507616
-5.5422554,14.636042
-7.305436,12.520306
-7.35067,11.9632435
-7.389965,12.956277
-6.6561737,13.270526
-6.4413476,13.138148
-7.1216054,13.718364
-7.6554146,12.60488
-6.9977984,12.378622
-6.9867196,12.236409
-6.937639,12.654391
-7.4698863,12.4838705
-5.556131,14.794736
-6.800548,13.485322
-7.453817,14.3232975
-6.7817416,12.806215
-5.9924984,13.888443
-5.859005,13.260752
-6.270077,12.622316
-7.408854,12.39929
-6.5758634,14.091521
-7.2625833,11.766224
-5.6503263,13.988786
-7.816193,14.496036
-7.0985246,12.157233
-6.4578805,13.208554
7.4403057,5.7828555
-7.3595257,11.753674
-7.546774,11.762726
-5.592615,14.213919
-7.0678163,13.686911
-5.7936096,13.8752775
-6.716859,13.133333
-7.662674,12.243228
-7.7853003,14.647296
-6.312555,13.527329
-6.599135,12.64197
-6.91402,12.764518
-6.7240424,11.972085
-5.710573,14.113168
-6.7947226,14.441551
-6.314263,13.09871
-7.1895814,13.387368
-6.151598,13.30305
-6.8109207,13.514541
-5.763398,13.475114
-7.084864,12.850864
-5.6521764,13.980866
-6.505638,12.605861
-6.543052,13.429616
-7.4898043,12.459033
-6.7664104,14.395201
-6.63105,12.502653
-6.117313,14.331733
-6.063393,13.974574
-7.5920258,12.3569765
-5.950849,13.474698
-6.515622,14.7678
-7.8980517,14.325967
-7.6897206,14.175412
-5.7682867,13.437162
-6.1249847,13.225802
-7.180763,12.326709
-5.6605535,14.073012
-6.3897843,13.286638
-6.542,12.471188
-6.7828403,12.563806
-6.616685,13.054536
-5.607217,14.020474
-7.3196087,12.1129265
-6.5469,13.35847
-6.568859,12.690731
-6.427226,12.835187
-5.679116,13.789766
-6.234045,13.196086
-6.5878906,12.898245
-6.5577,12.981655
-6.2002697,13.313885
-5.623891,14.145542
-5.60917,14.499556
-6.593599,12.602652
-5.453451,14.139623
-6.4724336,14.670125
