norm_0,norm_1
-6.9890857,13.68222
-7.1783276,12.534469
11.11178,-1.2395362
-6.0363936,14.226605
-6.526632,13.32327
-7.642181,12.85196
-7.3646965,12.2719755
-6.6482854,13.4416275
-7.738983,12.8954525
-6.995247,13.312604
-7.1751432,14.809938
-7.7953672,12.51102
7.1708307,5.362324
-6.6486354,13.42081
-7.9961076,12.393339
-6.2462316,13.797067
-6.324057,13.518801
-7.584232,12.027329
-7.675141,12.24421
-6.650609,13.927652
-6.6487064,13.329646
-6.4429283,14.105741
-7.1476984,12.576706
-6.641428,13.07399
-6.6941943,13.743306
7.338805,5.2706304
-7.336166,12.260898
-6.997645,13.358802
-6.576057,14.02404
-7.741852,12.939903
-6.5265265,15.130356
-7.489245,13.085841
-7.7901936,12.282493
-6.4644156,13.638171
-7.4401546,12.411088
-6.8570833,13.408095
-8.195598,14.595102
-7.3731346,12.021126
-7.350035,12.117635
-7.2224317,12.529112
-7.709373,12.412352
-7.1203804,12.467988
-6.123424,14.521598
-7.210058,12.564275
-7.5795236,12.151882
-6.696993,13.458733
-6.4040427,13.860862
-6.709254,13.332632
-7.015834,13.510424
-6.6647305,14.815274
-7.389345,14.013412
-6.7546554,13.593972
-7.372097,12.566336
-6.4114165,13.364093
-15.796067,-4.66139
-7.802646,12.324226
-7.3687882,12.606305
-6.5587716,15.359145
-6.7801113,13.9514065
-5.9992085,15.17522
-7.5065503,12.874475
-7.4901423,12.313787
-7.6427445,13.296424
-6.948239,13.692212
-6.7209272,13.58763
-7.4651065,14.084656
-7.8659973,12.915622
-7.186742,12.766738
-7.157132,12.630843
-7.1575813,13.047522
-7.668662,12.817639
-6.030935,15.329974
-7.1186433,13.891728
-7.8647647,14.649266
-7.021871,13.218723
-6.362271,14.383367
-6.157526,13.774851
-6.493121,13.095315
-7.597943,12.74001
-6.964759,14.517961
-7.3642087,12.134588
-6.032846,14.520578
-8.244322,14.781354
-7.26114,12.534914
-6.746274,13.653615
7.1374636,6.3672466
-7.457842,12.111025
-7.6597023,12.088222
-6.001136,14.750058
-7.4079475,14.061148
-6.1625147,14.391998
-6.995376,13.551261
-7.8262024,12.557504
-8.23098,14.932282
-6.639261,13.98984
-6.8209295,13.076395
-7.1476912,13.1623535
-6.8550878,12.400262
-6.106428,14.635523
-7.2224717,14.84067
-6.5909667,13.562644
-7.495,13.750585
-6.451944,13.782647
-7.132709,13.920098
-6.0868645,13.998316
-7.328794,13.229046
-6.033299,14.511949
-6.725385,13.0515995
-6.8570924,13.864781
-7.6835985,12.793332
-7.1891313,14.797895
-6.837481,12.93385
-6.5371556,14.807341
-6.4431677,14.461843
-7.7735276,12.67926
-6.2718587,13.976145
-6.982398,15.194628
-8.306067,14.601582
-8.081983,14.474776
-6.0869884,13.959566
-6.418123,13.710341
-7.3614736,12.695086
-6.0526295,14.602628
-6.688831,13.74079
-6.745097,12.91288
-6.995184,12.977549
-6.8877645,13.485197
-5.9926915,14.555296
-7.467217,12.469001
-6.8519373,13.794559
-6.7971435,13.129387
-6.6727014,13.28797
-6.0388865,14.320119
-6.522232,13.669462
-6.8363795,13.333204
-6.8194246,13.41849
-6.5022955,13.78859
-6.024289,14.679063
-6.0501537,15.032172
-6.8096123,13.0356455
-5.8547187,14.693363
-6.927891,15.102821
-8.171667,14.712304
-6.908915,14.4269085
-7.689128,13.970727
-8.229244,14.534025
-7.5763044,14.477836
-6.666828,15.1536665
-7.687876,14.923847
-6.8329787,13.618306
-6.1202703,14.06937
-6.3631487,14.011813
-8.36532,14.926557
-8.013695,14.784313
-6.4519525,14.658297
-6.6846366,13.427815
-6.58126,13.251929
-6.899239,13.444499
-6.37403,13.120085
-8.092139,14.592788
-6.615943,13.141384
-6.9294925,13.366541
-6.644039,13.986946
-7.832613,14.434246
-8.0946045,14.459185
-8.150253,14.117352
-6.7828083,14.37035
-7.026554,13.967153
-7.4416122,14.2879925
-7.026533,13.795222
-6.4287477,13.003228
-7.444983,14.040625
-7.5748134,14.900243
-7.1849465,14.236999
-5.8271303,14.852571
-6.5544734,14.528051
-6.4512863,14.256724
-7.234134,11.8875885
-7.3931694,12.351959
-7.733621,13.422392
-6.414139,14.522962
-6.8427186,13.0931635
-7.1936407,12.901194
-6.406366,14.142143
-7.2379603,14.95734
-7.1830025,13.05393
-7.469908,13.757842
-6.238423,14.346232
-7.7292523,13.976015
-6.155572,14.700268
-7.294476,14.4081545
-7.5377502,12.553798
-7.4425445,12.21243
-8.097069,14.20207
-6.671603,14.972451
-6.7045183,15.211653
-7.6639414,13.558701
-8.110782,13.171294
-6.5266423,15.476872
-7.5306306,12.409921
-6.407401,15.218557
-5.9549823,14.873168
-7.881971,13.087317
-6.405612,15.044588
-7.636794,12.810276
-7.632947,12.260482
-8.060821,14.616317
-6.2165947,15.37445
-6.1661325,14.928849
-6.95872,12.51103
-7.6801357,12.309079
-17.252073,15.247922
-6.218343,15.071413
-8.119004,12.93927
-6.494644,14.2081585
-5.979573,14.455592
-8.22341,14.235195
-7.627238,12.876863
-6.4453077,15.16735
-7.510039,12.394297
-6.4547067,15.188558
-6.9322515,13.017235
-6.2756915,13.844242
-6.5456386,14.885276
-6.1089807,14.629658
-6.7350063,13.111393
-6.806984,15.125942
-7.1204433,12.064761
-7.2894635,12.631945
-6.9297214,12.701993
-7.0671563,12.326678
-7.3840814,12.985274
-6.106095,14.745542
-6.4752374,14.699978
-7.798929,14.426969
-6.253592,14.624635
-6.7286057,13.567802
-7.0654526,15.220228
-6.336425,14.6723385
-7.709959,15.182484
-6.365553,14.864829
-6.1727376,14.06871
-6.4971986,14.743747
-7.9263983,13.01162
-7.013509,12.929529
-5.9895706,15.173167
-6.8163795,14.890744
-7.2696543,12.241539
-6.8688164,13.014728
-6.018084,14.782002
-6.1649804,15.3014345
-6.9114947,13.579149
-6.7139077,15.310042
-6.7530737,14.717479
-6.208527,14.219321
-6.542697,15.295774
-6.0475106,15.030555
-6.056563,13.758618
-8.372397,14.96058
-6.5339313,15.149011
-7.1665483,12.19384
-7.090617,14.158201
-6.3313017,14.923156
-7.9943132,13.313513
-7.23997,12.308105
-6.608189,15.273775
-6.2806616,15.091681
-7.478005,14.264847
-6.3220425,14.9621
-6.650711,14.234284
-7.771213,12.542192
-7.4689746,12.303358
-6.3998227,13.715727
-7.386487,14.130486
-7.637475,12.489308
-5.8598647,14.931479
-6.458765,14.6565275
-6.8316293,13.977449
-6.136704,14.506186
-7.932608,12.695008
-7.40051,13.578515
-7.932184,14.366163
-6.5873303,15.231493
-6.0804243,13.940353
-7.477271,13.441571
-17.731073,13.94488
-6.4389253,14.693504
-6.286633,14.864471
-6.4524527,13.76711
-7.456373,12.580152
-7.238708,12.287327
-6.8953695,14.4425745
-6.309417,14.082429
-5.9861403,14.852809
-6.080182,14.340181
-6.698209,14.941379
-7.758364,12.611212
-6.3043585,13.229706
-7.4770417,13.781618
-6.7623606,14.801839
-7.9126153,13.342955
-7.0813937,13.251945
-7.2582197,12.194552
-6.3152175,13.942754
-6.7517495,14.632845
-6.9848824,13.761381
-6.9809985,14.038038
-6.33218,13.8818445
-6.600137,15.322048
-6.487058,14.6639595
-5.9648232,14.587729
-8.01484,15.04679
-6.300755,14.936529
-7.2140727,14.916485
-6.010309,14.693573
-7.126791,12.26086
-7.7065215,15.22533
-6.1514897,14.8392
-6.686657,13.667214
-8.135046,14.387304
-5.9776134,14.09631
-6.3872495,14.164281
-7.4715104,14.238835
-6.510246,15.33022
-7.0548058,12.291882
-7.6241918,12.377253
-7.8719664,14.461273
-7.639944,13.790358
-8.121955,14.431058
-8.082799,12.735513
-8.440478,14.788791
-6.413999,15.181094
-6.249647,14.092742
-6.341625,14.937185
-5.9787526,14.63798
-6.4970727,15.542254
-7.2762394,12.230796
-6.0765095,13.8473425
-6.5666685,15.343383
-6.5445123,14.179362
-6.5161667,15.446164
-6.2793427,14.997069
-7.304202,14.524816
-6.2276263,13.890841
-7.877118,13.478577
-6.0353274,13.971455
-7.2531643,14.716898
-7.8602557,13.906595
-6.3104873,14.769188
-7.2759395,13.364723
-7.362054,12.180297
-7.1964774,15.20411
-6.264895,14.674148
-6.038321,14.537929
-6.2752023,13.828384
-7.19595,13.425252
-7.760491,12.224544
-7.352243,12.274297
-7.326282,12.075677
-7.384662,14.761784
-6.1832323,15.100994
-6.3852596,13.699621
-6.2106023,13.8649
-6.2158394,14.169981
-6.1121645,13.860988
-6.8989677,12.92308
-6.5477214,14.979549
-6.3929853,14.988901
-6.5988564,15.424608
-7.921186,13.076129
-6.580114,15.256069
-6.477829,13.898095
-7.2288356,12.7017355
-6.8239775,14.339493
-6.486353,15.453979
-6.843229,14.03212
-7.363323,14.279838
-7.46651,12.122475
-6.68093,13.393775
-6.141472,15.126716
-5.900891,15.003503
-7.3717217,14.180245
-7.88334,12.491012
-6.0353937,15.046017
-7.265828,12.066091
-6.112668,13.964815
-7.7298803,12.724807
7.656695,7.5516295
-6.2846184,14.673175
-8.052108,12.62877
-7.183469,12.165688
-7.9216986,12.500341
-8.123775,13.662697
-6.910146,12.718717
-6.9420886,15.280248
-5.9630017,14.382668
-6.737003,13.681365
-6.358913,15.038612
-7.2635317,15.196693
-6.693276,15.0334635
-6.6472588,14.862519
-8.201289,14.475752
-7.9453516,12.879974
-5.815147,14.735169
-6.7765536,14.912822
-7.333495,12.024929
-5.831887,14.865971
-7.332783,12.190954
-7.230048,12.511655
-6.7420793,15.37902
-5.8675065,14.700322
-6.075694,13.833348
-8.355347,14.830261
-14.386071,1.8695472
-6.58276,14.673015
-6.658198,14.911709
-7.614012,12.340424
-6.2198043,13.865667
-5.8496284,15.03458
-6.916158,12.675556
-5.8619,14.892573
-8.03926,13.467283
-8.105816,14.659754
-6.9123044,15.24562
-6.9285655,13.181825
-7.639389,12.336678
-6.8260617,13.19409
-7.2723017,12.217655
-6.8921814,13.1844015
-6.754135,15.115865
-6.0596538,14.332567
-6.5365763,15.450416
-6.3520517,13.877705
-6.413073,14.824582
-6.5605197,15.286347
-6.6346626,13.460986
-6.1805015,14.932293
-8.145593,14.722788
-7.9367347,13.908816
-7.7461376,14.801842
-6.7879972,14.730388
-6.603688,13.832614
-7.9245605,13.089121
-7.0992675,14.139125
-6.014158,15.074049
-5.8585916,14.496124
-6.217019,14.513405
-6.8537946,14.560235
-6.4595866,15.321301
-6.4060287,15.061247
-6.9810967,12.924787
-7.4157276,12.29202
