"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50","PC_51","PC_52","PC_53","PC_54","PC_55","PC_56","PC_57","PC_58","PC_59","PC_60","PC_61","PC_62","PC_63","PC_64","PC_65","PC_66","PC_67","PC_68","PC_69","PC_70","PC_71","PC_72","PC_73","PC_74","PC_75","PC_76","PC_77","PC_78","PC_79","PC_80","PC_81","PC_82","PC_83","PC_84","PC_85","PC_86","PC_87","PC_88","PC_89","PC_90","PC_91","PC_92","PC_93","PC_94","PC_95","PC_96","PC_97","PC_98","PC_99","PC_100"
"D28.1_1",-8.61244844569342,-0.142606579226318,-1.17115708061503,-0.0406202552316338,1.96742248456568,-6.7132479094174,-0.667940136666864,1.47862558611896,-0.0858232970528627,0.193397127011002,1.00034701925174,-0.810049817022536,0.520297177509019,-0.0842505847755175,-0.727669143172563,0.0596960727806783,0.0911785632901576,0.339332908115474,0.695061413200007,0.687661900071285,0.126321507820925,0.121442423787776,-0.490978343752158,0.564432942974037,-0.103660392306026,0.724887839229011,0.0386647162108141,0.00842565170437175,1.01412406535202,-0.0343857847539443,-0.549886773624764,0.10807690409962,-0.435287359475748,-0.164672743247949,1.16420627806222,-0.418468611456604,0.291871367575485,-0.935336634829934,-0.137090697707338,1.08873821584473,0.356117976948266,-0.548047214767909,0.00141715047609999,0.382179010872631,0.834469380634231,-0.231471422554606,-0.309580378882222,-0.384576146177601,-0.0234318817353378,0.483323557750657,0.16344743490343,-0.597668796945292,0.28532371902549,-0.672320546472293,0.53769870892721,-0.339975767862802,0.11187278263199,-0.739596202293742,-0.249970730485285,-0.575850667721808,0.377797165386974,-0.16116149511646,-0.741991328851613,-0.0109554980589846,-0.342159457116469,0.292203670819249,-0.681848475154003,-0.09235114518065,-0.141781113613308,-0.301068865013335,-1.80444607139687,-0.195795668245544,-0.146779665394215,-0.143721043518712,0.149154369394358,0.49897091224033,-0.339912822430667,-0.111750382460092,0.750336027507338,-0.708801241890433,0.416724290106803,1.12018333334123,-0.280186994820444,0.049696184152669,-0.0561899210596523,0.186283412843775,0.451448694915585,-0.415745262284516,0.617836381110847,-0.187978520732853,-0.0940588495086584,1.15607299335833,-0.37221505319854,-0.452047681042367,-0.644124012869718,-0.0980702696404847,-0.892586002638445,-0.243370855111364,0.518046170195288,-0.872345779454453
"D28.1_2",25.4411610857952,-23.5321624461639,18.3508753490629,-65.2633155075694,-44.7219527873374,-9.215757728086,2.20762318440709,1.45758683261949,-1.63743838194755,-1.76836183280363,1.03667018755401,0.0160922473943223,-1.03373797102862,-0.80406740470067,-0.569661935874448,0.47235351717906,2.85645504888825,-1.46971612215012,0.389506885479171,-0.234847499955796,1.22334998487011,2.38465111825897,-2.43043129511908,0.0600562720062974,4.42508249239589,-1.0208250934122,-0.822190242789134,1.69687199434202,-0.916956241158718,4.85800463297768,3.46923445091921,5.88581471484476,6.98783185324648,-2.44134321435911,-2.11847663217332,-2.77820804795634,1.89282707750831,-0.0327532371909382,-2.25013948833599,2.59273012929285,-1.10379024737774,-0.881578701089716,3.63693953165235,-1.56775376899981,4.35149600912701,-3.76213229254934,-1.30359928771899,3.55514469417111,4.39276971544113,2.69185952793982,1.44614446172798,-3.45579684317693,-6.10984660431392,2.74344011073508,0.570648263110669,-0.920105897734059,1.61930418647202,-0.496264891622918,-3.14134317432791,1.99267737078978,3.17425710931218,0.324734030586078,1.5668341800546,-3.81008714858508,0.751868755280151,-2.57340284693197,-3.18138128679066,4.98973187010132,0.031051918479882,0.558475908643257,-2.72144618812854,0.399575758836321,-7.67460062021769,-2.07766098465102,4.64407640576628,-0.0230105561929717,-1.22956799333948,-3.10595902064857,1.63526772550365,3.38201637093492,-4.24065143881198,-2.00138263575271,0.107892869896127,-0.230005459223799,3.4343939616054,3.12210710469669,-1.34976353654175,-3.06937997830203,-1.00888664667287,3.70152447612779,-1.20465237447509,-1.11492971742156,1.15515152874004,0.808006268413004,-2.89526186600491,0.833093078287655,0.194133731055595,2.03066299647854,0.912385219596505,1.44677606669915
"D28.1_3",-7.18052776545838,-0.0759119426954718,0.804668161834055,0.744621110994225,-0.932949000115237,2.05788889781612,-0.778087400544407,-11.0777642626169,-2.70346431754203,-0.76912314597971,0.00179767031873728,0.373428144683616,1.48413644975751,-0.0568682867014634,0.998716031063101,1.1974916411988,0.490810012077894,1.1910351324894,-1.28904732938349,-1.85976087247113,0.335151674680387,0.307508440158569,-1.15777123190448,0.315110295758339,-0.0814956425094693,-0.512405063337754,-0.493447645920628,-1.73692446923811,-0.172236558821365,1.26874160786011,-0.120336997788912,0.0573105627112597,-1.96443705893477,1.65581779715985,0.522992328247747,1.59082165345995,-0.218725846790962,0.583451832589093,-1.09607194712337,-0.713492869227461,-1.37791472962581,-0.166587344843049,-0.442917872075107,-1.09869361853036,0.504326186821858,1.72742868036765,1.31314522484539,1.85204566894752,-0.513654390651945,-0.257086700548719,-0.209692876873456,-0.432732042582127,-1.03703351396471,-0.389483005972994,0.783792802544943,-0.550623532917169,-1.42507016999794,-0.885262565406521,-0.474615622627967,0.337253385747401,0.397376326433248,0.530644883357928,0.362973615250775,-0.537637343615202,-1.16778961202906,0.225477193191706,-1.04163202350608,0.416625800953835,-0.412186408263991,0.0770293506566436,-0.618716544960697,0.475996711478614,-1.42338587556841,1.18668487730539,0.55325792488272,-0.192003727036339,-1.08295324017439,0.807181307607019,-0.615325095658342,-0.703432800945962,-0.227074665971103,-0.0319437563441118,0.0706149508462756,-1.15290220300708,-0.337268096614675,1.13726436434975,-1.28180436511934,0.291857429150849,-0.398107196662245,-0.830376317007788,1.04787810202487,-0.415580498756176,-1.5135238334076,-0.422072344253909,-1.04238365336994,0.224456923993306,-0.322987891862132,0.183973812291328,0.283429152010142,-0.133018330266379
"D28.1_4",-9.80001521048026,-2.08953361515802,3.3685054318964,1.22636590297305,-3.52157770125294,11.018070670308,0.761754407381524,0.122092785275794,0.933466169544152,0.165529534457746,0.851169261926605,0.733767925868649,-1.94610072913235,0.875292651904921,0.578186943737451,1.95338915624241,-3.19568207948337,1.96494647457443,2.5754357636798,2.17681765167971,-0.509556805398664,0.145652939186548,0.799827536760638,0.73995414472958,0.469758429022243,0.919324933836438,-1.9270447105471,-3.87192897310538,-1.02551372131805,-0.673119649855919,-1.0209289712148,0.0459108381457637,2.31387216669113,-0.119509480416568,0.255166037722336,-0.257168009313855,-0.642107122777543,-0.493843402183979,0.530729946753918,1.47010726650612,0.323063692871479,-1.37693586299186,-0.114855792682963,0.0483434620708901,0.187940225192119,0.609432208816801,-1.64100946840868,0.0363472316009264,0.847001193376453,0.971514771136107,-0.107229369230416,0.590855553238689,-1.14575128268376,-0.0183269073959808,0.250422433132066,0.413195385582205,-0.901995388572669,-0.783226863774293,-2.04848990325473,-0.902078235556797,-0.922688268543987,0.248155622611629,-0.263295172448599,0.278944421757224,-0.861440697357101,-1.34092134369991,-1.29855373350742,0.224156898053518,0.599032722644902,-1.48071320608555,-0.322771367466413,-0.483269683145705,0.179689459440486,1.71362983539324,1.63941645993018,-1.61427540848211,0.241682279479886,1.45304628775031,-0.968823934155433,-0.882743907485741,-0.0176186712582382,0.255932352672267,-0.00146875386219884,0.883743793437879,-0.775556957568837,0.11335150423288,0.376965485122004,1.12292756669269,-2.0343665554932,1.77923131556573,0.244703603914645,0.32885670405808,-1.03729993031702,-0.892453846724778,1.35870407492185,-0.849866289804337,0.85252576703651,0.282232182232728,0.634345944972847,0.745958643018034
"D28.1_13",27.4950551105455,21.1207752642241,16.2147652536469,4.23689847875464,2.25676062571134,0.505365349319591,-2.06154688478328,5.20225322223774,-20.5009870571548,2.91648312908914,9.47484234234875,-3.14478257968193,-2.63288469293542,-2.43211846565053,-2.75791497228357,-0.333760924293235,0.40206234125474,0.495228205872755,-3.12148379169218,-0.302142537197651,-0.0890227915019571,3.48524522018969,-2.38225664865818,3.47101595771419,2.27772344017933,1.47164323126702,-3.31575199942439,1.99222886965164,-2.50991894962215,-4.2484902328389,-2.43316335995147,2.49829633220833,1.38766009264768,-2.60368416970771,3.55830374613256,-4.3800759448843,-2.05730026339965,1.10141055821777,-2.15126997495634,-0.395750873540345,2.9148202780108,1.07745389084201,-5.09230381336164,2.25048342125647,1.53110001055776,-2.63559396845351,-1.04066284630921,3.06868808367698,-0.558756227103066,-3.28657160846388,-3.45596683742504,-1.10762038529869,0.452905944400962,1.5330114765711,-2.42505017862337,1.34609713687184,2.3672522085613,-3.39115458868226,-3.52719361431869,-2.20146390377896,2.33059006798932,1.36596478524858,4.72755740568903,0.582307290559267,0.864775488939936,2.52904502005459,1.00207172833118,-1.95219290254166,-2.33007290421342,1.4504300432855,-5.04505875657211,-1.44320598739241,4.34281826442101,-0.779310096194067,1.4239346638047,-0.0968380676236291,0.159876008134678,3.09147004694168,1.05710282309217,-1.40072008157839,3.58055946664697,-0.347094704303414,2.09021708568139,0.419183166320569,1.43173132038852,0.38541362438861,0.895240741557478,-2.77854756346539,1.4476083705867,-1.10063344243745,-0.374072411661457,1.34625952476319,-1.45556206317191,0.96353966211791,-4.20454659232829,0.067254032341989,-1.92113114901804,-0.333446677231494,-0.464270152618537,3.77517141951552
"D28.1_15",-9.25604177669332,-0.666474263528413,-0.949747870761101,0.0730998615905657,2.04084678222641,-7.24831374459134,-0.564992080930426,2.13121286244313,0.160604912900399,0.516644783441241,0.850383015784271,-0.346716531358739,1.09282779864954,0.01358997548688,-0.399008279327139,0.752022091924911,-1.73262089541957,0.930404892410469,0.0900962980624778,-0.385483972415479,0.063907312123185,1.07266093659769,-0.725307278649799,-0.182124371170458,-0.191105730148426,0.319436280153232,-0.542097299425704,0.273785586813387,0.564116713615452,-0.454462637135488,-0.0721830832969765,-0.325406830104509,0.673794010404068,-0.202749677213561,2.38140208218801,0.460343123211713,0.45015515725782,-0.435937851593502,-0.465101788599711,0.780191753652398,-0.478256130144574,-0.113643048078656,1.90304577048273,0.934864978842623,0.604705931511966,-0.281039311204825,1.43622302395107,0.460404626883744,-0.35842486631625,-0.891680420317374,0.35309862516009,0.545217653058867,0.303946252827739,-0.606381087614297,-0.647466820901853,0.594226013512728,-0.295022530429094,0.0334183397916439,-1.10485851116755,-0.875159706743434,0.214696227715448,-1.1684963661308,-0.804665377200012,-0.791969606597764,-0.527522785741941,0.298187942180364,-0.926533654734843,0.533745834447158,0.829559066368043,-0.282425523426577,-0.142720021717668,0.0100712575295636,-0.214568839389053,0.508564100473299,1.36123146023174,1.64202698403261,-0.274913653272577,-0.547955210864749,-0.60509424707261,-1.00460507664078,0.17031735444297,-0.649307331563503,0.504108171716353,0.279852402207957,-0.752054617046483,0.670152269863737,-0.292361801208795,-0.711675173302433,-0.426226678745837,0.666464979087365,0.238923428332043,0.103112146122645,0.0101535325117425,0.351073388082378,-0.413867693287288,-0.577503772220129,0.252679363964662,-0.123497199239079,0.0848098459308605,-0.121854189746442
"D28.1_17",-8.3380944388793,0.0395644643530429,0.363289057252413,-0.0260102731176189,1.56610922206946,-6.48934831274883,0.51084992796483,1.12338208176298,0.00834068082585462,-0.553906827780468,-0.611319299184652,0.271323305187844,-2.24460632847306,0.662525538493267,0.465258133332941,0.303735400772321,-0.44781064497143,-0.216963197494592,-0.115998365743623,-1.19627661523171,-0.0455983102280726,-0.452551991690639,0.749474281024701,0.296774834374092,-0.110093729687325,-0.443820342837854,-1.13798873676423,-1.6702446185187,-0.850860579492529,-0.202807472463842,0.364410998739664,0.910897382700159,0.00943002615870213,0.375113512492293,2.5913009450908,-0.475889455691048,-1.74502915865558,-0.941838309008885,1.1802429299025,0.519512742024054,0.678311951112411,1.15338966445453,-0.304070734543329,-1.16142178813922,0.424718883674757,1.21858612075515,-1.18214238112531,-0.0737606848346828,1.38259330259814,2.41606346424554,-0.0616327405393801,0.886296485863826,-1.40262407812775,-0.581836981959007,0.110015381098444,0.0530049684401378,-0.364620674777,-0.0232358048331402,-0.54507178471395,-1.37012834228683,1.19560340165687,0.629211040388424,0.00816775341523877,-1.62595141803629,-0.409614334304171,0.0212921756505576,-1.03573959954278,1.09185692162794,1.21266282793103,0.590846724523575,0.101529523081699,0.828060517725581,-0.426263854699539,0.637314664832577,-0.424278539579191,-0.317445448926296,0.614824594787811,-0.818842619985087,1.11352172782757,0.0966576793391365,-0.360406643688944,1.88203219222128,0.884753975354508,0.695803091285541,-2.00718121655872,1.60060653097075,0.661982587707667,-0.813273198408839,0.573063726065811,-0.303416472610724,0.263872040122167,0.240126574790134,0.294258730361435,0.495658424198936,-0.498648431448763,-0.494897411929017,-0.27189726744445,0.559751107745372,0.325037704994885,-0.027914664850164
"D28.1_26",23.214035056017,-21.2644029295491,16.8236251320494,-54.8462653534666,-38.9920649604419,-9.70318777700165,0.194097653488945,0.596430057950609,-2.35117594455476,-0.356883542674931,0.723042276043073,2.75218893131154,0.296590076672852,-0.706173962949487,-0.545365806311315,2.29287912512554,-1.66711148880618,-2.74255438993932,0.301654499151282,-2.41100007912742,1.64637762053745,0.742127762190419,-1.30967399352492,-1.77973221046934,-2.70280924340461,4.58570728255709,-5.09437175770002,-0.635106035370027,-0.839695771506192,-3.81868314359964,0.284171714648411,-3.46199635505487,-8.60101704456445,2.28629704036658,1.64727790394283,1.23812115124856,-3.55700031830246,0.738905740399148,3.39162499933706,-3.48348584123168,4.15005210340871,5.36119114777007,-1.73232482945387,6.30696906458892,-3.58114991594662,1.04326534570084,-0.696806411422867,-1.59149757023247,6.89007774969295,-4.65285350869737,2.77705496367111,-1.47094489031575,1.07858863356906,-2.34681098843938,-5.63895453154595,-4.04505162778759,-2.80913333907094,-5.35577189422029,4.94511212391697,1.72726297130049,-3.23490076912816,-4.55687059339466,-0.519907231882659,-6.19674096931501,-6.95136503404428,-6.3466263048755,2.68185156523685,0.397617181340279,5.28745881482444,-10.2686735644545,4.54379433463428,-7.987318473538,-6.75181877552172,-1.94029803667836,-2.7237703909028,-7.62338269226133,12.4111538318469,-2.43118663568919,6.13940993628666,-5.73879248661672,-8.16581528664292,-5.93739689898694,9.85069292463192,-3.14012019622773,-2.85253646403378,2.32263243506649,-1.84438655593,-4.65102060615208,-3.25297232327116,-1.79778305596984,-7.32039614558415,-7.20710314469586,4.91351403987765,-0.238379531486301,-1.47239277630448,7.21082281150601,-3.15639612156759,-1.64716203470694,1.5632055656938,2.0698454253141
"D28.1_29",-7.89070548216007,-0.36549179575774,-1.69641434643349,-0.773497241543804,2.00271946456291,-7.76595082200694,-0.255192955139716,1.01888855057652,0.29514424213716,-0.343603413947596,1.07356192075737,-0.426831605856847,-0.511666292434103,-0.447146509552593,-0.916667551604651,-0.3317710183169,-0.591543250210176,0.348985292796278,1.55692916243571,1.78731452072336,-0.760948755513365,0.839302980265211,-0.482278597205221,0.642730431511447,-0.387081306748899,0.209944019998533,-0.218111866221828,-2.16842968790094,-0.53757477762761,-0.328833982445166,-0.809026414135928,0.0513045817533495,-0.148553705497258,0.819760747144204,-0.998966199988303,0.566145243285897,0.407314667812995,1.02538558365173,-0.311407090135773,0.22402526887171,-0.344374840836915,-0.973464698105058,-0.130741676332656,1.17851453970123,1.22748185352047,1.05971013369054,0.501431322825275,0.114548791772282,0.274470102243174,-0.27364590314939,0.434120949228856,-0.254409496494984,-0.413863194571011,-1.06156808755022,0.701019455791211,0.821803066198736,-0.597086349459655,-0.975576766228789,-0.534450250186184,-0.419685261674148,-0.823605543439515,-1.39991355890895,-0.32972528071349,-1.02015981841329,-0.238727083695211,-0.492279925663439,-0.791835770983594,-0.430991822634785,-0.15244007385641,-0.851287950294893,-0.810825238108858,-0.683175322798635,-0.434987272731433,-0.335805839243803,1.19767796316974,0.432293538443878,-0.707045265102853,-0.557147629233427,-0.307866201971999,-0.260127504672404,0.515141609307511,0.395330848893759,-0.375470106117862,0.300247406959084,0.674260101688897,0.234601531447605,0.0778546356885522,-0.970141252399531,0.67474849305026,-0.411068570895849,-0.238534459090218,0.202628202123157,-0.2473319903484,0.226282199782756,-0.46477735610659,0.992091104053314,-0.908211188117355,-0.386598523649069,1.00018874925551,0.0380874899020804
"D28.1_30",-9.28270271213927,-0.912250768916589,-1.70420190291221,-0.372366183956782,1.91291410986942,-7.91192744916075,-0.743874633131406,1.8164295368971,0.562095948006621,0.413062605092925,0.617564884371338,-0.269853675148885,0.42776249820199,-0.414219892930249,-0.581615051407616,-0.10499763931245,-0.588171342898843,0.430231303951647,1.16911038158086,1.25645035323927,0.434959419820797,1.20265318055851,-1.28614834491225,0.607813038185409,0.3445892100279,0.558224507515908,-0.669159513150234,-0.925861656024298,-0.161821121838333,-0.305778912515917,-0.629373366249051,0.519559124444162,0.516663220465488,0.0162044898117609,0.578494401869033,-0.460076551118345,0.138203696432056,-0.248747213036737,-0.281300026453804,0.416339349099673,-1.19425173452245,-0.313510514650429,0.412252216767121,0.110910004207324,0.325398803969304,0.194582195280534,-0.328944248444225,0.568431298729539,0.911304852665702,0.252604859413477,0.929539629426599,0.341667425692656,-0.205182557171277,-0.192954520991811,-0.255277443681616,1.82161316295526,-1.21588133769048,-1.60591751475782,-1.18740377604577,-1.10007160732396,-0.814033452427562,-0.319332658609729,-0.475285182243661,-1.177603614522,-0.24201343997155,-0.327190712740788,-0.950032042264287,0.24155929935384,0.800695015242202,-0.842093660648431,-0.162961210145854,1.01555155622585,-1.14073333947329,0.641417643621437,0.418649702783952,0.0902542337084026,-0.25248904742742,-0.990816561199271,-0.695613112319159,-1.07116008774377,-0.211209291224002,1.23488667291445,0.184708516663186,0.862652042207244,0.371488041074184,0.280706685424681,-0.30239493541885,0.407887950564618,-0.0367068835792887,0.38178673618249,0.176115851117175,-1.63546138089159,-0.595653876893573,0.355823793847414,-0.926827141833515,-0.395540977521302,0.568391812795023,-0.338454782148659,-0.157351067825376,-0.474469451890755
